City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luanco,43.6152,-5.7934,287.91,74,70,2.68,ES,1712093337
84,tazovsky,67.4667,78.7,268.37,95,100,7.48,RU,1712093337
85,crane,31.3974,-102.3501,291.91,23,80,6.64,US,1712093337
86,ust-nera,64.5667,143.2,253.0,95,67,0.6,RU,1712093338
87,bredasdorp,-34.5322,20.0403,289.55,84,38,1.26,ZA,1712093338
88,san sebastian de la gomera,28.0916,-17.1133,293.36,68,0,0.51,ES,1712093339
89,saudarkrokur,65.7461,-19.6394,264.25,81,3,3.17,IS,1712093339
90,gilgit,35.9221,74.3087,282.67,57,100,0.66,PK,1712093340
91,margaret river,-33.95,115.0667,283.14,87,0,4.28,AU,1712093340
92,nova sintra,14.8667,-24.7167,292.8,79,15,9.72,CV,1712093340
93,tunceli,39.1083,39.5471,287.8,51,1,1.41,TR,1712093341
94,fisterra,42.9049,-9.2629,287.45,92,25,8.44,ES,1712093342
95,tofol,5.3248,163.0078,301.26,80,100,9.35,FM,1712093342
96,keflavik,64.0049,-22.5624,274.1,100,100,7.2,IS,1712093343
97,lihue,21.9789,-159.3672,300.73,69,75,9.26,US,1712093343
98,punta arenas,-53.15,-70.9167,280.21,65,20,7.72,CL,1712093081
99,prabuty,53.755,19.2055,283.17,75,100,7.15,PL,1712093344
100,merizo village,13.2658,144.6691,300.0,91,99,7.93,GU,1712093345
101,south hedland,-20.4089,118.5983,305.11,31,40,9.26,AU,1712093345
102,ugoofaaru,5.6667,73.0,301.87,71,94,2.57,MV,1712093346
103,two rivers,44.1539,-87.5693,276.11,98,100,7.2,US,1712093346
104,lewiston orchards,46.3804,-116.9754,296.88,41,0,2.06,US,1712093116
105,ad dilam,23.9915,47.1627,295.38,51,100,5.52,SA,1712093347
106,port elizabeth,-33.918,25.5701,291.31,76,0,7.2,ZA,1712093149
107,puerto baquerizo moreno,-0.9,-89.6,302.7,84,20,5.14,EC,1712093348
108,klaksvik,62.2266,-6.589,275.66,57,99,11.58,FO,1712093348
109,tiksi,71.6872,128.8694,247.62,97,72,2.59,RU,1712093349
110,yemva,62.59,50.8594,268.24,90,93,3.14,RU,1712093349
111,rikaze,29.25,88.8833,277.86,37,3,1.98,CN,1712093350
112,sungai penuh,-2.0833,101.3833,293.0,97,88,0.99,ID,1712093350
113,klyuchi,52.2667,79.1667,273.57,93,92,2.68,RU,1712093351
114,thames,-37.1333,175.5333,290.22,63,3,0.67,NZ,1712093351
115,thompson,55.7435,-97.8558,275.24,64,100,0.0,CA,1712093352
116,hrodna,53.6884,23.8258,282.01,78,100,8.35,BY,1712093352
117,utrik,11.2278,169.8474,299.98,74,100,7.81,MH,1712093352
118,kalamata,37.0389,22.1142,290.99,58,55,4.12,GR,1712093229
119,chichigalpa,12.5776,-87.027,307.99,29,20,3.09,NI,1712093353
120,richards bay,-28.783,32.0377,295.05,90,2,1.57,ZA,1712093354
121,novodvinsk,64.4165,40.8122,265.81,82,84,2.26,RU,1712093354
122,dryden,49.7833,-92.7503,278.31,48,100,3.09,CA,1712093059
123,dudinka,69.4058,86.1778,259.08,90,100,2.24,RU,1712093355
124,heihe,50.2441,127.4902,273.96,80,27,2.32,CN,1712093355
125,puerto ayora,-0.7393,-90.3518,302.13,90,88,2.24,EC,1712093356
126,tsurugi-asahimachi,36.45,136.6333,282.05,55,100,1.4,JP,1712093356
127,new norfolk,-42.7826,147.0587,281.99,90,90,1.21,AU,1712093357
128,iqaluit,63.7506,-68.5145,273.0,93,100,3.09,CA,1712093357
129,cill airne,52.05,-9.5167,280.4,96,100,1.84,IE,1712093358
130,doka,13.5167,35.7667,303.32,18,98,1.54,SD,1712093358
131,calliope,-24.0,151.2,295.06,88,40,2.57,AU,1712093154
132,yellowknife,62.456,-114.3525,272.44,59,75,5.14,CA,1712093359
133,dezhou,37.4486,116.2925,283.45,56,100,6.58,CN,1712093360
134,chegdomyn,51.1167,133.0167,268.0,96,100,0.63,RU,1712093360
135,mili,6.0815,171.735,301.22,77,100,7.87,MH,1712093360
136,el rosario,24.2556,-107.1828,301.23,20,0,8.11,MX,1712093252
137,tolanaro,-25.0319,46.9987,296.19,83,75,2.57,MG,1712093362
138,kupang,-10.1667,123.5833,299.47,100,75,2.06,ID,1712093362
139,guitiriz,43.1817,-7.8966,284.71,95,100,4.03,ES,1712093363
140,callaway,30.153,-85.5699,297.54,89,100,8.23,US,1712093363
141,coro,11.4045,-69.6734,302.11,68,96,8.64,VE,1712093364
142,dwarka,22.2394,68.9678,297.87,81,47,5.04,IN,1712093364
143,yinchuan,38.4681,106.2731,282.89,50,94,1.44,CN,1712093365
144,darwin,-12.4611,130.8418,299.14,93,0,3.09,AU,1712093279
145,blackmans bay,-43.0167,147.3167,281.33,80,100,0.45,AU,1712093366
146,new plymouth,-39.0667,174.0833,286.66,82,72,3.53,NZ,1712093366
147,aasiaat,68.7098,-52.8699,266.72,88,84,2.2,GL,1712093367
148,tesechoacan,18.1333,-95.6667,317.44,18,37,5.41,MX,1712093367
149,gizo,-8.103,156.8419,301.33,78,90,2.46,SB,1712093367
150,sompeta,18.9333,84.6,300.66,74,3,5.27,IN,1712093368
151,nadvoitsy,63.8667,34.3167,267.95,83,100,5.2,RU,1712093368
152,kroya,-7.6331,109.2461,299.7,88,100,2.05,ID,1712093369
153,suoyarvi,62.0833,32.35,270.16,93,100,5.64,RU,1712093369
154,marawi city,8.0,124.2833,292.29,91,14,0.79,PH,1712093370
155,arraial do cabo,-22.9661,-42.0278,298.13,83,0,3.09,BR,1712093370
156,yaren,-0.5472,166.916,300.9,77,91,1.91,NR,1712093371
157,xuddur,4.1213,43.8894,298.23,79,48,5.23,SO,1712093371
158,port alfred,-33.5906,26.891,289.92,85,73,1.79,ZA,1712093371
159,korba,22.35,82.6833,300.36,24,100,2.4,IN,1712093372
160,luderitz,-26.6481,15.1594,290.68,75,0,2.77,NA,1712093372
161,vytegra,61.0064,36.4481,273.91,90,100,5.36,RU,1712093373
162,namtsy,62.7161,129.6658,257.29,98,72,2.42,RU,1712093235
163,adana,36.985,35.2881,289.16,82,0,3.09,TR,1712093374
164,ribeira grande,38.5167,-28.7,289.37,88,40,8.75,PT,1712093374
165,isafjordur,66.0755,-23.124,268.04,73,15,2.48,IS,1712093375
166,bumba,2.1833,22.4667,296.99,85,92,0.52,CD,1712093376
167,mitu,1.1983,-70.1733,301.07,88,87,0.25,CO,1712093376
168,mount pearl,47.5166,-52.7813,274.79,90,75,9.77,CA,1712093377
169,ushuaia,-54.8,-68.3,278.96,70,75,2.57,AR,1712093228
170,gumi,36.1136,128.336,285.97,97,100,1.28,KR,1712093378
171,daru,-9.0763,143.2092,299.29,89,75,0.58,PG,1712093378
172,la passe,45.5549,-0.8967,285.28,91,100,9.01,FR,1712093379
173,invercargill,-46.4,168.35,283.5,81,100,3.07,NZ,1712093290
174,moyynkum,44.2914,72.9469,280.29,52,84,3.77,KZ,1712093379
175,wynyard,-41.0,145.7167,281.3,82,24,3.37,AU,1712093380
